_id,label,created_at_UTC
5eedd37994387308a6db5bf4,0,2020-03-09T13:04:52.000Z
5eedd37994387308a6db5bf5,0,2020-03-16T14:43:32.000Z
5eedd37994387308a6db5bf6,0,2020-04-06T13:40:17.000Z
5eedd37994387308a6db5bf7,0,2020-03-02T01:01:53.000Z
5eedd37994387308a6db5bf8,0,2020-04-13T21:25:25.000Z
5eedd37994387308a6db5bf9,0,2020-04-13T21:35:58.000Z
5eedd37994387308a6db5bfa,0,2020-03-30T19:57:57.000Z
5eedd37994387308a6db5bfb,0,2020-03-23T15:06:50.000Z
5eedd37994387308a6db5bfc,0,2020-04-20T19:20:53.000Z
5eedd37994387308a6db5bfd,0,2020-04-27T06:39:20.000Z
5eedd37994387308a6db5bfe,0,2020-03-23T15:02:02.000Z
5eedd37994387308a6db5bff,0,2020-04-20T16:32:54.000Z
5eedd37994387308a6db5c00,0,2020-03-23T15:49:05.000Z
5eedd37994387308a6db5c01,0,2020-03-16T13:32:27.000Z
5eedd37994387308a6db5c02,0,2020-03-23T15:52:14.000Z
5eedd37994387308a6db5c03,0,2020-04-20T11:17:46.000Z
5eedd37994387308a6db5c04,0,2020-04-06T13:17:25.000Z
5eedd37994387308a6db5c05,0,2020-04-27T01:36:30.000Z
5eedd37994387308a6db5c06,0,2020-03-30T21:43:34.000Z
5eedd37994387308a6db5c07,0,2020-03-23T15:10:42.000Z
5eedd37994387308a6db5c08,0,2020-04-06T13:39:24.000Z
5eedd37994387308a6db5c09,0,2020-03-23T14:58:44.000Z
5eedd37994387308a6db5c0a,0,2020-03-23T15:43:56.000Z
5eedd37994387308a6db5c0b,0,2020-03-30T21:46:27.000Z
5eedd37994387308a6db5c0c,0,2020-03-16T13:50:09.000Z
5eedd37994387308a6db5c0d,2,2020-04-27T17:06:27.000Z
5eedd37994387308a6db5c0e,0,2020-03-02T00:24:53.000Z
5eedd37994387308a6db5c0f,0,2020-03-23T15:05:48.000Z
5eedd37994387308a6db5c10,0,2020-03-23T14:59:18.000Z
5eedd37994387308a6db5c11,0,2020-03-09T13:18:18.000Z
5eedd37994387308a6db5c12,0,2020-03-30T21:02:55.000Z
5eedd37994387308a6db5c13,0,2020-04-20T17:37:24.000Z
5eedd37994387308a6db5c14,0,2020-03-30T20:23:43.000Z
5eedd37994387308a6db5c15,0,2020-04-06T13:12:36.000Z
5eedd37994387308a6db5c16,0,2020-04-06T14:23:32.000Z
5eedd37994387308a6db5c17,0,2020-03-09T05:22:34.000Z
5eedd37994387308a6db5c18,0,2020-03-30T20:53:03.000Z
5eedd37994387308a6db5c19,0,2020-04-13T04:07:16.000Z
5eedd37994387308a6db5c1a,0,2020-04-13T03:26:22.000Z
5eedd37994387308a6db5c1b,0,2020-03-23T15:11:17.000Z
5eedd37994387308a6db5c1c,0,2020-04-20T11:14:16.000Z
5eedd37994387308a6db5c1d,0,2020-03-23T15:02:07.000Z
5eedd37994387308a6db5c1e,0,2020-04-06T13:36:34.000Z
5eedd37994387308a6db5c1f,1,2020-03-16T13:44:11.000Z
5eedd37994387308a6db5c20,0,2020-03-16T14:17:16.000Z
5eedd37994387308a6db5c21,1,2020-04-13T21:39:15.000Z
5eedd37994387308a6db5c22,0,2020-03-16T13:49:57.000Z
5eedd37994387308a6db5c23,0,2020-03-23T15:56:36.000Z
5eedd37994387308a6db5c24,0,2020-04-12T23:49:23.000Z
5eedd37994387308a6db5c25,0,2020-03-16T14:07:06.000Z
5eedd37994387308a6db5c26,0,2020-03-23T15:27:12.000Z
5eedd37994387308a6db5c27,0,2020-03-23T15:06:35.000Z
5eedd37994387308a6db5c28,0,2020-03-23T15:24:18.000Z
5eedd37994387308a6db5c29,0,2020-03-23T15:10:54.000Z
